"abbr","buildings_count","name","short","website","wikidata"
,1,"Coopérative   des Arts et des Ouches","C-Arts-Ouches","https://c-arts-ouches.ch/",
,1,"Coopérative Cité Derrière",,,
"I6",1,"Coopérative I6",,,
"CHER",1,"Coopérative d'habitation des employés du rail",,,
"CODHA",23,"Coopérative de l’habitat associatif",,"https://www.codha.ch","Q86666680"
"CLL",2,"Coopérative du logement Lutry",,"https://cll-lutry.ch",
,1,"Ecopolis",,"https://ecopolis.ch/",
,1,"La Meute",,"http://www.meute.ch/",
,1,"Le Bled",,"http://lebled.ch/",
,2,"Les Jardins de la Paix, société coopérative d'habitation",,"https://jardinsdelapaix.ch",
,1,"Logement Idéal",,"https://www.logement-ideal.ch",
"SCHL",85,"Société coopérative d'habitation Lausanne",,"https://schl.ch","Q126741196"
"SCH Le Chêne",7,"Société coopérative d'habitations Le Chêne",,,"Q131310187"
