abbr	buildings_count	buildings_locations	buildings_zipcode	name	short	website	wikidata
	1			Coopérative Cité Derrière		https://citederriere.ch/	
I6	1	Lausanne	1005	Coopérative I6			
CHER	9	Lausanne	1007	Coopérative d'habitation des employés du rail			
CODHA	19	Genève|Grand-Saconnex|Lausanne|Plan-les-Ouates	1018|1202|1218|1228	Coopérative de l’habitat associatif		https://www.codha.ch	Q86666680
	1			Coopérative des Arts et des Ouches	C-Arts-Ouches	https://c-arts-ouches.ch/	
	1			Coopérative des cheminots de la Riviera	CHERI-Riviera	https://www.cheri-riviera.ch/	
CLL	5	Lutry	1095	Coopérative du logement Lutry		https://cll-lutry.ch	
	1			Ecopolis		https://ecopolis.ch/	
	1	Lausanne	1018	La Meute		http://www.meute.ch/	
	1			Le Bled		http://lebled.ch/	
	7	La Tour-de-Peilz|Vevey	1800|1814	Les Jardins de la Paix		https://jardinsdelapaix.ch	
	1			Logement Idéal		https://www.logement-ideal.ch	
SCHL	122	Bussigny|Chavannes-près-Renens|Ecublens (VD)|Epalinges|Lausanne|Le Mont-sur-Lausanne|Orbe|Pully|Romanel-sur-Lausanne	1004|1006|1007|1009|1010|1012|1018|1022|1024|1030|1032|1052|1066|1350	Société coopérative d'habitation Lausanne		https://schl.ch	Q126741196
SCHP	2	Pully	1009	Société coopérative d'habitation Pully		https://schpully.ch	
	11	Coppet|Gland|Nyon	1196|1260|1296	Société coopérative d'habitations Le Chêne	SCH Le Chêne	https://www.schlechene.ch	Q131310187
