wikidata	abbr	name	short	dedicated_to	website	start_date	swiss_business_uid	buildings_count	building_flats	building_start_date_first	building_start_date_last	building_last_renovation_first	building_last_renovation_last	building_last_renovation_count	buildings_subsidized_count	buildings_rent_regulated_count	buildings_dormitory_count	buildings_sheltered_housing_count	buildings_locations	buildings_postcode
		Baugenossenschaft Pro Familia Kirchacker						1	11					0	0	0	0	0	Liebefeld	3097
Q133461365		Cité Joie			http://www.cite-joie.ch/	1958-06-13T00:00:00Z	CHE-101.956.628	9	0					0	0	0	0	0	Lausanne,Clarens,Montreux	1018,1815,1820
Q133282712		Coopelia			https://coopelia.ch/		CHE-102.797.120	16	244	2000-01-01T00:00:00.000Z	2016-01-01T00:00:00.000Z			0	0	0	0	0	Lausanne,Yverdon-les-Bains,Payerne,Genève,Vevey,Orbe,Vallorbe,Versoix,Morges,Gland	1007,1400,1530,1202,1800,1350,1337,1290,1110,1196
Q133459586		Coopérative Arc-en-ciel			https://coop-arcenciel.ch/	2009-01-01T00:00:00Z	CHE-108.734.721	4	88	2015-09-01T00:00:00.000Z	2023-01-01T00:00:00.000Z			0	0	0	0	3	Saint-Blaise,Fontainemelon,Couvet,Les Brenets	2072,2052,2108,2416
Q133282337		Coopérative Bâtir Groupé			https://ecopol.net/batir-groupe/	2006-01-01T00:00:00Z	CHE-113.820.622	3	0	2016-07-01T00:00:00.000Z	2019-09-01T00:00:00.000Z			0	0	0	0	0	Grandvaux,Cheiry	1091,1529
Q131743050		Coopérative Cité Derrière			https://citederriere.ch	1995-01-01T00:00:00Z	CHE-104.327.245	110	1009	2005-01-01T00:00:00.000Z	2023-01-01T00:00:00.000Z			6	38	47	1	20	Lausanne,Aigle,Yverdon-les-Bains,Renens,Payerne,Bex,Echallens,Bussigny,Nyon,Orbe,Gland,Morges,Lausanne 26,Prangins,Grancy,Gollion,Saint-Prex,Tolochenaz,Le Sépey,Châtillens,Arnex-sur-Nyon,Borex,Begnins,Moudon,Lancy,Senarclens	1007,1006,1004,1018,1860,1005,1400,1020,1530,1880,1000,1040,1030,1260,1350,1196,1110,1012,1197,1117,1124,1162,1131,1863,1610,1277,1268,1510,1212,1304
Q133282764		Coopérative CO2P L71				1998-01-01T00:00:00Z		1	0					0	0	0	0	0	Genève	1203
Q132176222		Coopérative d’habitants La Meute	La Meute		http://www.meute.ch/	2011-01-01T00:00:00Z	CHE-350.649.084	1	25	2022-06-01T00:00:00.000Z	2022-06-01T00:00:00.000Z			0	0	0	0	0	Lausanne	1018
Q133285984		Coopérative d'habitation B612					CHE-114.106.295	3	0					0	0	0	0	0	Lausanne	1005
Q133461288		Coopérative d’Habitation de la Tourbière			https://tourbiere.ch/		CHE-251.947.336	1	0					0	0	0	0	0	La Chaux-de-Fonds	2300
Q132176055	CHER	Coopérative d'habitation des employés du rail		railway worker			CHE-102.316.733	4	142	1965-01-01T00:00:00.000Z	2019-01-01T00:00:00.000Z	2020-01-01T00:00:00.000Z		2	0	0	0	0	Lausanne	1007
Q133284252		Coopérative d’habitation du quartier de l’Auge			https://cooperative-auge.ch/	1981-06-01T00:00:00Z	CHE-104.018.117	7	33	1400-01-01T00:00:00.000Z				3	0	0	0	0	Fribourg	1700
Q133284301		Coopérative d’habitation écoresponsable La Bistoquette			https://bistoquette.ch/	2018-01-01T00:00:00Z	CHE-199.716.421	2	0	2024-01-01T00:00:00.000Z	2024-01-01T00:00:00.000Z			0	0	0	0	0	Plan-les-Ouates	1228
Q133459721		Coopérative d'habitation Equilibre			https://www.cooperative-equilibre.ch/	2005-01-01T00:00:00Z	CHE-112.841.426	5	118	2011-01-01T00:00:00.000Z				0	0	0	0	0	Confignon,Genève,Meyrin	1232,1203,1217
Q133459779		Coopérative d'habitation Gilamont-Village					CHE-100.575.436	1	0	1995-01-01T00:00:00.000Z	1995-01-01T00:00:00.000Z			0	0	0	0	0	Vevey	1800
Q133459793		Coopérative d'habitation Huit et demi			https://gchg.ch/membre/huit-et-demi/	2005-01-01T00:00:00Z	CHE-112.781.907	3	0					0	0	0	0	0	Bernex	1233
Q133459822		Coopérative d'habitation L'habrik			https://lhabrik.ch/		CHE-113.640.994	1	80	2023-01-01T00:00:00.000Z	2023-01-01T00:00:00.000Z			0	0	0	0	0	Grand-Lancy	1212
Q133459856		Coopérative d'habitation La Renouvelle					CHE-174.689.305	1	0			2017-01-01T00:00:00.000Z	2017-01-01T00:00:00.000Z	1	0	0	0	0	La Chaux-de-Fonds	2300
Q133459866		Coopérative d'habitation Le Jet d'Eau			https://gchg.ch/membre/le-jet-deau/	1976-01-01T00:00:00Z	CHE-100.292.412	4	211					0	0	0	0	0	Genève,Thônex	1209,1202,1226
Q133459875		Coopérative d'habitation Le Verger de Champlong-Marbriers			https://gchg.ch/membre/le-verger-de-champlong-marbriers/	2010-01-01T00:00:00Z	CHE-293.874.329	1	38					0	0	0	0	0	Petit-Lancy	1213
Q133459877		Coopérative d'habitation Les Ailes			https://www.lesailes.ch/	1955-01-01T00:00:00Z	CHE-102.227.609	15	513	2004-01-01T00:00:00.000Z				0	0	0	0	0	Le Grand-Saconnex,Cointrin,Satigny,Genève,Onex,Meyrin	1218,1216,1242,1201,1213,1209,1217,1202
Q133284155		Coopérative d'habitation Les Coloriés			https://www.cooplescolories.ch		CHE-307.980.218	1	6	1780-01-01T00:00:00.000Z	1780-01-01T00:00:00.000Z	2021-01-01T00:00:00.000Z	2021-01-01T00:00:00.000Z	1	0	0	0	0	Attalens	1616
